date,id,username,content,likes,rts,views
2023-04-04 03:20:25+00:00,1643091122317672453,MiOpinion360,"Quién lo ayuda? Quién se suma a darle la oportunidad a un ser maravilloso, a cambiarle la vida, porque lo merece? #Concón #Viña #VinadelMar #Valparaiso #GatilloFacil #Mega #Iphone #Providencia #Iquique #MónicaRincón #Chile #EsHora #ResptoALaVida",0,0,4.0
2023-04-04 03:20:12+00:00,1643091069750456320,mutante321,"@felipekast A #50AnosDelGolpe 

@felipekast quiere se legisle sin escuchar la voz de expertos, como denuncia director de @amnistiachile 😮‍💨👇

Así de MISERABLE la Derecha Negacionista!

#NoAlNegacionismo 
#NoALeyGatilloFácil 

#WallMapu #Temuco #Chile https://t.co/tVErkIsJem",0,0,3.0
2023-04-04 03:19:13+00:00,1643090819069497347,losleorodriguez,Lo único que tenían era la calle...y ahora la perdieron a manos de su mismo gobierno 👏🏽👏🏽👏🏽👏🏽 #LeyGatilloFacil #LeyNainRetamalAhora #boric #toha #cuicos #chile,0,0,2.0
2023-04-04 03:18:43+00:00,1643090694242963457,mabochile,"@mmlagoscc El expresidente que lleva tu apellido no hizo nada contra la delincuencia. De hecho, robó en el MOP, FFCC y está libre. Subió el IVA y mejor no sigo. Bukele fue electo y la gente ahora puede salir segura a la calle, algo que justo ahora no podemos hacer en #Chile",0,0,2.0
2023-04-04 03:18:09+00:00,1643090552269819907,lado_mx,#Chile: La Corte Interamericana sesionará en Chile tras invitación del Estado. https://t.co/j0K2h4LWqa,0,0,1.0
2023-04-04 03:17:46+00:00,1643090455041658882,mauricioriveros,"Mañana comienzo otra aventura artística que me tiene muy entusiasmado y por la que he trabajado mucho. No es un disco nuevo, ni un libro, pero es un proyecto al que le he puesto mente y corazón. Aquí vamos otra vez. 😉

#Chile #Mexico https://t.co/cw2dS0JAyY",0,0,13.0
2023-04-04 03:16:46+00:00,1643090202590691328,MaAntonietaZun1,"Bienvenidos a la #regiondecoquimbo 🤗
@BarriodelMar
#LaSerena #Coquimbo #chile",1,0,13.0
2023-04-04 03:16:05+00:00,1643090034336071682,outagedetect,"🆗 #Falla Moderada de internet que ya terminó: #Gtd en #Chile desde las 23:05 resuelta después de 5 minutos, afectando #Providencia #Antofagasta #Santiago

🇨🇱 Recibe notificaciones con el Fing Desktop
👉 https://t.co/DWSFIrxa1L

#Gtdfalta #Gtddown #Gtdup #online #noche https://t.co/T2NTH9sswF",1,1,158.0
2023-04-04 03:15:09+00:00,1643089795848056834,clsismos,"[22:42] Sismo a 72 km al noreste de El Salvador, magnitud: 2.7, profundidad: 5 km #sismos #temblor #chile",0,0,64.0
2023-04-04 03:14:49+00:00,1643089715380334592,chacon_vida,@alb0black Con @GabrielBoric y la izquierda progresista retosedimos a #50AnosDelGolpe . Haber elegido a este gallo fue hundir a todo el movimiento social de #Chile. 60.000 hombres tendrán la facultad de ejecutar a cualquier chileno y son personas con 8° básico. https://t.co/ssnrPLEvnT,0,0,7.0
2023-04-04 03:13:48+00:00,1643089459611672579,Fakimaki76,@BarchiesiDip Oiga porfavor aclare eso de La Promesa  #Chile,0,0,4.0
2023-04-04 03:12:37+00:00,1643089161224683520,epnotichile,"El Senado votará Ley Naín-Retamal, tras postergar la tramitación #chile https://t.co/4Oe5yFngo3",0,0,1.0
