User,Content,Date
@SequeiraPete,Saw the funny side of @elonmusk (with his intoxicating laugh) on the Full Send Podcast on YouTube with the Nelk Brothers. Most informative 3 hours I have EVER watched! Elon is the most brilliant man in the world today… bar none!,"Apr 23, 2023 · 11:43 PM UTC"
@ZealousFoX,"You realize, Elon didn't get any money from his family and actually worked has ass off to invent new things that didn't exist anymore. Paypa;, OpenAI, SpaceX, and the Tesla as we know now. His money is through years of inventing and forward thinking. Not from his family.","Apr 23, 2023 · 11:39 PM UTC"
@korver_4,"The sooner you realize that it’s not a coincidence that Elon’s twitter shitstorms always coincide with Tesla or SpaceX disasters, the sooner you’ll understand why he acts the way he does. He needs attention like a three year old but also is trying to distract from his failures","Apr 23, 2023 · 10:15 PM UTC"
@MandiGleaves,"Elon is being a dick and Trolling. He is going to send Tesla stock into a free fall and Twitter is going to go downhill fast.
Starship blew up - SpaceX (Elon) are now saying that they expected it to. (no they didn't) I think things are falling apart...Manic episode coming up...","Apr 23, 2023 · 10:11 PM UTC"
@tchoffee,"Tesla, Starlink, SpaceX...

Porra, se não puder ser fanboy do Elon Musk, vai ser de quem? Da Anita?","Apr 23, 2023 · 10:02 PM UTC"
@AirshipGuy,"I need to try and not be too pessimistic... but I'm bouncing around between 

""Well it's bad, but SpaceX will figure it out like they always do.""

to

""Elon's a liar and a fraud! And Starship is fucking bullshit made on lies and fraud, and the stupid clown should be fired!""

yeah","Apr 23, 2023 · 8:51 PM UTC"
@AirshipGuy,"Even a healthy median between these points is... Starship is fucking bullshit.

Zero reason to believe a word Elon or any SpaceX fan says about Starship launch costs now, or what it will, or will not accomplish.

It's Shuttle 2.0 until it proves otherwise.🤷‍♂️","Apr 23, 2023 · 8:55 PM UTC"
@EllenTyma,Elon still won’t have sex with you,"Apr 23, 2023 · 8:47 PM UTC"
@vita_boyle,"Brianna, you speak like an 
Embittered non-inventive engineer. 
Hang the hate for Elon up. 
And congratulate those that 
Have done what you could never 
Do. 
Elon has done it.","Apr 23, 2023 · 8:15 PM UTC"
@CrumbMontgomery,"In my remake these people would be Elon Musk employees left behind after their Fuhrer leaves for Mars (he never made it, but they don't know that).  They pray to a (phallic) inoperative ('successful failure') SpaceX Rocket for it to reunite them with their 'dear leader'...","Apr 23, 2023 · 8:05 PM UTC"
