User,Content,Date
@BrunsDw,"For the record. I think Twitter still sucks. Any form of censorship is unconstitutional. I don’t care if you call it Time Out. In fact, putting people in Time Out is treating adults like children. It’s all condescension. NO Elon Musk. No one should have this power! Make me CEO","May 13, 2023 · 11:37 PM UTC"
@SeigaGen,"Now if the new CEO is ""Vicious"" and doesn't mind hurting others, then we have a problem... But you assume that will be the case.  I was skeptical about Elon at first.  And my skepticism still holds.  Twitter has become a shit show.  Especially for politics.","May 13, 2023 · 11:36 PM UTC"
@BANA1411_,"im pretty sure the cat died too im not gonna look at it again

this was nowhere near as common before elon took over and this is just another reason why he fucking sucks as a ceo of twitter

i reported the video but 100% chance its not gonna do shit","May 13, 2023 · 10:40 PM UTC"
@RamRod27111589,Not with the new WEF ceo. Elon fucked up or is under threat.,"May 13, 2023 · 10:26 PM UTC"
@Heroic_Triarii,"@JordanBrace8 everyone is warming up their Truth Social accounts in case the new Twitter CEO means a return to the bad old days.

I don't think Elon will let it be. He's saying it's not. I hope that's true.","May 13, 2023 · 10:20 PM UTC"
@PatrickOshea71,Elon far right? LMFAO… y’all just say things that completely contradict yourself. Also the new Twitter CEO is pretty fucking liberal.,"May 13, 2023 · 9:17 PM UTC"
@ChampCyndaquil,Is the new twitter ceo a W or nah? Elon sucks ass but I’m not getting my hopes up.,"May 13, 2023 · 8:55 PM UTC"
@FurredAmethyst,maybe if we’re lucky twitter wont suck once elon is no longer the ceo and I wont have to dread being addicted to this site as much anymore,"May 13, 2023 · 8:46 PM UTC"
@NewsWat82877157,"Welcome to Twitter 3.0. New CEO supports all that shit, and lots more family destructive content! She's already blocking people/views she doesn't like. Elon urged us all to unblock everyone to get more diverse views. Wait until Apple tells her they want Trump off the platform.","May 13, 2023 · 8:42 PM UTC"
@SaltyCarpenterr,"So is Elon Musk giving Twitter back to the deepstate with his ceo pick or has he been a disinformation agent the entire time. . . ?
Know what I think? I think he's a deepstate pos
Fuck Elon Musk,  Twitter, space x, tesla pos cars..
And fuck you for taking Tesla's name. Ass.","May 13, 2023 · 8:31 PM UTC"
@JMFartrock,"Dear Doc Loupis,
Elon Musk new Twitter CEO hire...
Results?
Cancellation of my two year old
Cyber truck deposit, $49,000.00 Loss...
Let the National Boycott of Tesla begin,
Go woke, go fucking broke...Neeeext!!!","May 13, 2023 · 8:20 PM UTC"
@LantMaggie,"Elon, WTF, get another CEO and fire the bitch you hired, and she'll probs sue you, so what, you can afford to settle, do you have any idea at all how dangerous she is and how many peeps on Twitter are angry about this?","May 13, 2023 · 8:17 PM UTC"
@Tembelaniwewe,"But here on Twitter Elon, daily, people report accounts that have a porn content but you always bring them back. Maybe you're a fan of those porn accounts just like me. Anyway how is the new CEO doing in her new job?","May 13, 2023 · 8:11 PM UTC"
@kleenbreeze2,who gives a shit? Elon can´t manage Twitter because he has too many other responsibilities. So he hired a CEO. Worry about your decisions.,"May 13, 2023 · 8:02 PM UTC"
@ReidRasner,"Elon, the Globalists own you. First you hire WEF board member to be CEO now you are censoring on the platform you swore to be the town hall of all free speech? @twitter is really sucking lately. Your decision making skills have been compromised, sir.","May 13, 2023 · 7:57 PM UTC"
@FreeSpeechElon,"First, she’s a WEF puppet, and I don’t like her delivery while speaking with Elon. And, at the time of this video, she didn’t align with the @elonmusk Twitter vision. What changed?! #ElonSoldHisSoul #TwitterCEO","May 13, 2023 · 7:22 PM UTC"
@blakers33,"Elon announced his new CEO for Twitter because of all the shit that @Tesla had coming down the pipe, which just dropped. Very trumpian play","May 13, 2023 · 6:54 PM UTC"
@2a4me2,Twitter 1.0 full effect.....I'm conservative. Every side should have a voice Left or Right...especially during elections....this isn't good...wow least Elon admitted he was full of shit with free speech...and with this new WEF CEO in charge going to get worse.,"May 13, 2023 · 5:53 PM UTC"
@JorgensonDuane,Asked to describe the new CEO of Twitter in five words and when I did my Twitter shut off and reset wasn't able to comment on how I think this woman is obviously a huge liberal fucking mistake Elon what are you thinking? She wants a sensor Twitter again get her the hell out,"May 13, 2023 · 5:18 PM UTC"
@MeiThong194215,I have the highest respect for Elon Musk. However I am skeptical of his pick for CEO. She holds quite a position with the WEF. No way she can totally exorcise her ideology to run twitter like it is currently. She wants to prop up twitter very quickly with big fishes,"May 13, 2023 · 4:20 PM UTC"
@CaptainKantor,"So after all the hulla bulla for a few months, Elon Musk finds a queen of disinformation, as new Twitter’s new CEO. #RIPTwitter is a wrong hashtag. It should be more like #whatthefuckwereyouhopingfor you Chump?","May 13, 2023 · 4:15 PM UTC"
@UtterBullshit29,"So what do you think Zuby of the newly appointed WEF CEO? Ready to join Elon also WEF to usher in digital ID via his X app the do everything everything app, the whole reason he bought Twitter. Once digital ID is in place, social credit will follow and then total control.","May 13, 2023 · 4:12 PM UTC"
@AzfreedomTom,As soon as Elon appointed this WEF bitch CEO my tracking attempts went up to 1013 attempts in 10 minutes by Twitter. I have two phones. My phone slowed way down.  I deleted Twitter app and my phone was back to normal. Dumping Twitter. Poor choice Elon.,"May 13, 2023 · 4:06 PM UTC"
@LukeLansing5,"Well, sounds like Twitter is going back to the same woke shit hole it was before Elon with this WEF Executive Chair as the CEO… byeeeeee Twitter.","May 13, 2023 · 3:59 PM UTC"
@NorthofNB,"I have given Elon much benefit of the doubt. Ive seen the changes at Twitter. All for the good. 

However....

His new CEO?

Woke as fuck. 

Mask Nazi.

Vaxx Nazi. 

WEF 🤡

When people tell you who they are, believe them. 

He fucked up on this one......","May 13, 2023 · 3:55 PM UTC"
@MartinD19600,"I got put on Twitter X out for using the line “Bette, u ignorant slut” from SNL”, responding to a remark far worse, does she get restricted? Noooooo. I see ur new ceo is already started the ban Elon🤬","May 13, 2023 · 3:00 PM UTC"
@GaryWebel,"*Elon buys Twitter, changes algorithm*

The right: This is great! Free speech again! Elon’s the man!

*Elon hires new CEO tied to WEF*

The right: Elon sucks and this place is gonna suck.","May 13, 2023 · 2:57 PM UTC"
@bobme,Hard to look at Elon Musk’s time as Twitter CEO as anything but a failure. Now he begins the long process of repairing his reputation. I think he can do it actually.,"May 13, 2023 · 2:47 PM UTC"
@CardamoniaN,Elon is already looking for a new ceo after only having twitter for a few months? Pussy!,"May 13, 2023 · 2:44 PM UTC"
@sm,"Everyone who is saying that there’s no job left for the new Twitter CEO because Elon is head of both product AND engineering and that’s all there is:

lolololol I wish that were true","May 13, 2023 · 2:39 PM UTC"
@TommyEugene8,"@elonmusk hiring their new CEO proves they really didn't actually care about free speech in the first place. I came back to Twitter from a very long break because I thought we had free speech again. I was wrong. He isn't going to listen. Politely, fuck you Elon.","May 13, 2023 · 2:27 PM UTC"
@ItsAScraperG,"Thinking outside the box

Twitter
Elon Musk
Tucker Carlson
Fox News
Freedom of Speech is not Freedom of Reach = Censorship
WEF
New CEO

We are being played with as usual.

No one from main street media is on people's side
The Always Agenda is to divide and conquer.","May 13, 2023 · 2:26 PM UTC"
@Wheezy_814,Hopefully this new twitter ceo (if even real) will actually step up. Twitter has never been more dogshit since Elon took over,"May 13, 2023 · 2:05 PM UTC"
@EdwardDeyoung,"Maybe it's because there aren't that many people who actually give a shit about Twitter, or the CEO, or quite literally anything that happens online? So few people are tweeting the keywords to even make it trending? Or easier to claim ""Elon is bad man, like my tweets""","May 13, 2023 · 2:05 PM UTC"
@mccallum_brian,"Imagine your whole argument is well, my guys not as big a pedophile as your pedophile. You people live in echo chambers. Dark Brandon sends his regards. Enjoy the new Twitter CEO from WEF too. Bet you thought Elon was a good guy too hahahahhahaha.","May 13, 2023 · 1:54 PM UTC"
@ItsAScraperG,"CATCHING UP — In case you missed it, Linda Yaccarino has resigned from NBCUniversal after Elon Musk reportedly hired her to become CEO of Twitter. (Daily Mail, Disclose)","May 13, 2023 · 1:51 PM UTC"
@matthewcox75,"Elon overpaid for Twitter and then stepped down because he’s a genius. Can’t possibly be that he’s just another entitled opportunist with a rich dad who got him his connections within the tech industry. Can’t be that he sucks as a CEO, and you’re now just seeing it in real time.","May 13, 2023 · 1:27 PM UTC"
@kidcobol,Elon basically has given up on his dream of making twitter more open to free speech because he’s losing a shit ton of money. He’s bringing in this new ceo with credentials to get the paid advertising revenue back up and increase the share price again.,"May 13, 2023 · 12:42 PM UTC"
@nicolexselsky,Elon why the fuck would you hire a WEF shrill as twitter CEO? You’re just gonna sell everyone out like that? Do you not see how big of an issue the WEF is in Canadian Government? We dont want these people in any positions of power or authority. They’re ruining society.,"May 13, 2023 · 11:46 AM UTC"
@HiroWithArt,"Dunno why yall are hype about the alledged new twitter ceo seeing as she's chosen by elon himself.

The site is still going to suck and become a shell of its former self.","May 13, 2023 · 11:45 AM UTC"
@lindasuejoy,Not like I did. Choosing Linda as his CEO and receiving her cuckolding onstage--embarrassing! I've already unsubscribed to Twitter Blue and Elon's own $3.99 subscription. He has massive work to do on his reputation. I love Elon and his vision--I feel betrayed.,"May 13, 2023 · 11:38 AM UTC"
@lloydDboy,elon is stepping down from being twitter ceo because someone took a shit in the sink he brought to the office and nobody's around to clean it up,"May 13, 2023 · 11:36 AM UTC"
@burner_primary,"The shock that the new Twitter CEO appointment proves conservatives are children who desperately clung to “Elon is is, at last we can freely shit our racist fears out” and now they can’t cope that they never understood who is is and was. The left  needed him as a devil symbol","May 13, 2023 · 10:57 AM UTC"
@0FUCKSx,Elon does one thing you disagree with and you abandon him and attack him? So disrespectful. He’s the one who bought twitter to give free speech back. He wouldn’t pick a ceo that doesn’t align with his vision. Even if he made a mistake when he realizes he will replace her.,"May 13, 2023 · 10:56 AM UTC"
@spanishkitten76,"😂Fuck “resigning”, fuck sugarcoating it, she HAD to simply quit.  The article stated that Linda hadn’t told ANYONE she had applied for the Twitter CEO position.  Elon forced her into that situation when he tweeted that he had hired a CEO and SHE would be starting in 6 weeks.","May 13, 2023 · 10:55 AM UTC"
@homesteader1000,Morning! Not sure how good. My coffee tastes bitter. #FtheWEF Is  Elon selling Twitter to Soros? Sounds like his new CEO is more of a coworker the way he talks about her? I wouldn’t put it past him. #RIPTwitter,"May 13, 2023 · 10:26 AM UTC"
@HET_TRIBUNAAL,"Elon heeft een nieuwe CEO voor twitter, deze dame heeft een geschiedenis met het WEF(World Economic Forum).  Alle complot gekken die dol op Elon zijn, denken dat het WEF het ergste is wat er in deze wereld bestaat.","May 13, 2023 · 9:57 AM UTC"
@FreeSpeech8USD,"How Twitter will go:
CNN intern: how can u b sure u won’t be dictator
@elonmusk: I’ll write a condition to let them get rid of me *smug*
new CEO: omg it’s time to get rid of elon because of meme
Elon: how did I not see this coming
Twitter: lol @jack is CEO again, censorship rulez","May 13, 2023 · 9:48 AM UTC"
@kijestic,"Tho the WEF thing is a little concerning but he picked the CEO based on her ability to grow, expand, and transform Twitter to our or Elon’s direction not her the reputation of the organizations she was on or even her political leaning tho if I would say she is moderate so far","May 13, 2023 · 9:48 AM UTC"
